3, 0, 51
4, 0, 63
5, 0, 59
3, 1, 20
4, 1, 33
3, 2, 11
4, 2, 26
3, 3, 4
4, 3, 23
6, 0, 65
7, 0, 69
8, 0, 57
5, 1, 33
6, 1, 38
7, 1, 45
8, 1, 38
5, 2, 30
6, 2, 38
7, 2, 44
8, 2, 43
9, 2, 32
5, 3, 31
6, 3, 32
7, 3, 46
8, 3, 47
9, 3, 40
5, 4, 17
6, 4, 29
7, 4, 42
8, 4, 50
9, 4, 38
5, 5, 8
6, 5, 25
7, 5, 41
8, 5, 41
9, 5, 31
6, 6, 13
7, 6, 30
8, 6, 39
9, 6, 35
8, 7, 32
9, 7, 29
9, 0, 48
9, 1, 32
9, 8, 31
2, 0, 9
10, 0, 13
10, 2, 7
4, 4, 10
10, 4, 7
4, 5, 11
10, 5, 5
5, 6, 6
10, 6, 9
4, 7, 4
5, 7, 5
6, 7, 6
7, 7, 16
10, 7, 6
5, 8, 6
6, 8, 14
7, 8, 18
8, 8, 29
10, 8, 7
6, 9, 10
7, 9, 10
8, 9, 16
9, 9, 26
10, 9, 3
6, 10, 9
7, 10, 8
8, 10, 4
9, 10, 19
10, 10, 3
6, 11, 9
7, 11, 8
8, 11, 5
9, 11, 11
10, 11, 3
6, 12, 7
7, 12, 8
8, 12, 6
9, 12, 8
10, 12, 3
7, 13, 9
8, 13, 5
9, 13, 3
10, 13, 5
7, 14, 4
8, 14, 3
9, 14, 5
10, 14, 3
7, 15, 4
8, 15, 3
10, 15, 2
8, 16, 3
9, 16, 5
10, 16, 2
9, 17, 5
10, 17, 4
8, 17, 4
9, 18, 5
10, 18, 2
8, 19, 3
9, 20, 3
11, 0, 2
16, 0, 3
10, 1, 5
11, 1, 1
11, 2, 1
10, 3, 4
11, 3, 1
11, 4, 1
11, 5, 1
11, 6, 1
11, 7, 1
11, 8, 1
11, 9, 1
11, 10, 1
11, 11, 1
11, 12, 1
11, 13, 1
11, 14, 1
11, 15, 1
4, 6, 1
5, 9, 4
5, 10, 1
5, 13, 3
6, 13, 5
6, 14, 4
6, 15, 2
1, 0, 2
3, 5, 1
4, 8, 3
4, 10, 2
5, 11, 1
4, 12, 1
5, 16, 1
7, 17, 2
5, 17, 1
6, 18, 1
7, 18, 1
6, 19, 1
9, 19, 2
6, 20, 1
7, 20, 2
8, 20, 2
6, 21, 2
7, 21, 2
9, 21, 1
8, 21, 3
6, 22, 1
9, 22, 1
7, 23, 2
8, 23, 1
6, 24, 1
7, 24, 1
9, 24, 1
8, 25, 1
6, 26, 2
7, 26, 1
8, 26, 2
9, 26, 1
7, 27, 1
8, 27, 1
6, 28, 1
7, 29, 1
8, 24, 1
2, 1, 1
1, 2, 1
2, 2, 2
2, 3, 1
2, 4, 2
3, 4, 2
14, 0, 1
15, 0, 3
17, 0, 1
14, 1, 1
15, 1, 2
16, 1, 1
17, 1, 2
15, 2, 2
16, 2, 4
17, 2, 3
15, 4, 2
16, 4, 1
17, 4, 1
15, 5, 1
16, 5, 2
17, 5, 1
15, 6, 2
16, 6, 1
16, 7, 1
15, 8, 2
